,name,date_utc,success,rocket,launchpad,year
62,SES-12,2018-06-04T04:45:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2018
63,CRS-15,2018-06-29T09:42:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2018
64,Telstar 19V,2018-07-22T05:50:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2018
65,Iridium NEXT Mission 7,2018-07-25T11:39:26.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,2018
66,Merah Putih,2018-08-07T05:18:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2018
67,Telstar 18V,2018-09-10T04:45:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2018
68,SAOCOM 1A,2018-10-08T02:22:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,2018
69,Es’hail 2,2018-11-15T20:46:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,2018
70,SSO-A,2018-12-03T18:34:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,2018
71,CRS-16,2018-12-05T18:16:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2018
72,GPS III SV01,2018-12-23T13:51:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2018
73,Iridium NEXT Mission 8,2019-01-11T15:31:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,2019
74,Nusantara Satu (PSN-6) / S5 / Beresheet,2019-02-22T01:45:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2019
75,CCtCap Demo Mission 1,2019-03-02T07:45:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,2019
76,ArabSat 6A,2019-04-11T22:35:00.000Z,1,5e9d0d95eda69974db09d1ed,5e9e4502f509094188566f88,2019
77,CRS-17,2019-05-04T06:48:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2019
78,Starlink v0.9,2019-05-24T02:30:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2019
79,RADARSAT Constellation,2019-06-12T14:17:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,2019
80,STP-2,2019-06-25T03:30:00.000Z,1,5e9d0d95eda69974db09d1ed,5e9e4502f509094188566f88,2019
81,CRS-18,2019-07-25T22:01:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2019
82,Amos-17,2019-08-06T22:52:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2019
83,Starlink-1,2019-11-11T14:56:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2019
84,CRS-19,2019-12-05T17:29:23.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2019
85,JCSat 18 / Kacific 1,2019-12-17T00:10:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2019
86,Starlink-2,2020-01-07T02:19:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2020
87,Crew Dragon In Flight Abort Test,2020-01-19T14:00:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,2020
88,Starlink-3,2020-01-29T14:06:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2020
89,Starlink-4,2020-02-17T15:05:55.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2020
90,CRS-20,2020-03-07T04:50:31.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2020
91,Starlink-5,2020-03-18T12:16:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,2020
92,Starlink-6,2020-04-22T19:30:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,2020
93,CCtCap Demo Mission 2,2020-05-30T19:22:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,2020
94,Starlink-7,2020-06-04T01:25:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2020
95,Starlink-8 & SkySat 16-18,2020-06-13T09:21:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2020
96,GPS III SV03 (Columbus),2020-06-30T19:55:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2020
97,ANASIS-II,2020-07-20T21:30:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2020
98,Starlink-9 (v1.0) & BlackSky Global 5-6,2020-08-07T05:12:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,2020
99,Starlink-10 (v1.0) & SkySat 19-21,2020-08-18T14:31:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2020
100,"SAOCOM 1B, GNOMES-1, Tyvak-0172",2020-08-30T23:18:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2020
101,Starlink-11 (v1.0),2020-09-03T12:46:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,2020
102,Starlink-12 (v1.0),2020-10-06T11:29:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,2020
103,Starlink-13 (v1.0),2020-10-18T12:25:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,2020
104,Starlink-14 (v1.0),2020-10-24T15:31:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2020
105,GPS III SV04 (Sacagawea),2020-11-05T23:24:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2020
106,Crew-1,2020-11-16T00:27:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,2020
107,Sentinel-6 Michael Freilich,2020-11-21T17:17:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,2020
108,Starlink-15 (v1.0),2020-11-25T02:13:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2020
109,CRS-21,2020-12-06T16:17:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,2020
110,SXM-7,2020-12-13T17:30:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2020
111,NROL-108,2020-12-19T14:00:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,2020
112,Turksat 5A,2021-01-08T02:15:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,2021
